
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       550          0          0        100        480   bfc_decode_api.obj
       112        200          0          0        177   bfc_decode_feature_switch.obj
      2270         12          5         64       1437   color_api.obj
       304          0          0          0        609   color_drv_6260_series.obj
         0          0          0          0          0   color_drv_null_driver.obj
       194        716          0          0        152   drv_gfx_codec_limitation.obj
        16          0          0          0        208   drv_gfx_dct_control.obj
       124          0          0          0        126   drv_gfx_dynamic_switch.obj
       370          0          0         52        359   drv_gfx_hisr_ctrl.obj
       152          0          4          4        126   drv_gfx_l1sm_ctrl.obj
       388          0          4         13        254   drv_gfx_stack_switch_manager.obj
        70          0          0          0       1040   exif_enc_api.obj
         0          0          0          0          0   exif_enc_wrapper.obj
         0          0          0          0          0   exif_legacy.obj
       624          0          0          0        714   g2d_bitblt_api.obj
      1200         12          0       1044        957   g2d_common_api.obj
      1540          0          0          0        438   g2d_drv_bitblt_6260_series.obj
      1212          0          0          8       1587   g2d_drv_common_6260_series.obj
       880          0          0          0        358   g2d_drv_font_6260_series.obj
      1824          0          0          0        508   g2d_drv_lt_6260_series.obj
      1978          0          0          0        329   g2d_drv_overlay_6260_series.obj
      1222          0          0          0        260   g2d_drv_rectfill_6260_series.obj
        48          0          0          0        416   g2d_font_api.obj
       250          0          0         12        486   g2d_mutex.obj
       786          0          0          0        991   g2d_overlay_api.obj
       430          0          0          0        382   g2d_rectfill_api.obj
       174          0          0         68        949   ipp_interface.obj
      2656          0          0         16       2031   ivlw_decoder.obj
      3046         68          0          0       1686   ivlw_encoder.obj
       124          0          0          0       1612   jaia_api.obj
         0          0          0          0          0   jaia_utility.obj
      1926          0          0          0       1421   jpeg_decode_api.obj
         0        344          0          0          0   jpeg_decode_feature_switch.obj
      1922          0          0          0        526   jpeg_decode_int.obj
         0          0          0          0          0   jpeg_decode_int_hw.obj
      1558          0          0          4        386   jpeg_decode_int_sw.obj
      2262          0          0          0        294   jpeg_decode_int_sw_post_parsing.obj
         6          0          0          0        156   jpeg_drv_null_driver.obj
      2462          0          0          0       1850   jpeg_encode_api.obj
         0        160          0          0          0   jpeg_encode_feature_switch.obj
      1286          0          0          0        556   jpeg_encode_int.obj
         0          0          0          0          0   jpeg_encode_int_hw.obj
      2548          0          0          0        857   jpeg_encode_int_sw.obj
       498          0          0          0        377   jpeg_encode_wrapper.obj
         0          0          0          0          0   jpeg_mem_check.obj
       408          0          0          0        479   jpeg_misc_api.obj
       374          0          0          0        310   jpeg_parse_api.obj
      2638          0          0          0        867   jpeg_parse_int.obj
      1712          0          0         72        907   lwp_decoder.obj
         0          0          0          0          0   mav_decoder.obj
         0          0          0          0          0   mav_encoder.obj
       884          0          0          0       1462   png_decode_api.obj
        12          0          0          0         52   png_decode_int.obj
         0          0          0          0          0   png_decoder_int_hw.obj
         0          0          0          0          0   png_decoder_int_sw.obj
         0          0          0          0          0   png_drv_6268_series.obj
         0          0          0          0          0   png_drv_6276_series.obj
      1194          0          0          0       1142   rgb_resizer_api.obj
         0          0          0          0          0   rgb_resizer_int_hw.obj
       158          0          0          0        248   rgb_resizer_int_sw.obj
      2122          0          0        188       1211   rgb_rotator_api.obj
       676          0          0          4        371   rgb_rotator_int_hw.obj
       130          0          0          0        170   rgb_rotator_int_sw.obj
      2236          0          0          0       1812   rs_buffer.obj
       230          0          0          0        362   simple_memory_manager.obj
       994          0          0          0        920   yuv_rotator_api.obj
         0          0          0          0          0   yuv_rotator_int_hw.obj
       146          0          0          0        170   yuv_rotator_int_sw.obj
     50926       1512         13       1649      35578   TOTAL

