min	max	appname
3001	3300	APP_GLOBALDEFS
3301	4801	APP_WAP
4802	4902	APP_MRE
4903	4913	APP_MRE_BG
4914	5114	VAPP_SNS
5115	5120	VAPP_SNS_PLUGIN
5121	5126	VAPP_SNS_BG
5127	5147	VCUI_SNS_UPLOAD_PIC
5148	5158	VCUI_SNS_SLIM_UPLOAD_PIC
5159	5179	VCUI_SNS_CONTACTS_PICKER
5180	5190	VCUI_SNS_MSG_COMPOSER
5191	5211	VAPP_WIDGET_SNS_COSMOS
5212	5222	VAPP_WIDGET_SNS_DUMMY
5223	5239	SRV_SNS
5240	5248	SRV_SSO
5249	5349	SRV_BACKUP_RESTORE
5350	5360	VAPP_GOOGLE_SEARCH
30586	31036	APP_BLUETOOTH
31037	31237	APP_BOOTUP
31238	31258	APP_NW_INFO
31259	31279	APP_SIM_CTRL
31280	31330	APP_SHUTDOWN
31331	31481	APP_SECURITY_SETTING
31482	31502	CUI_VERIFY
31503	31533	CUI_PASSWORD
31534	31834	APP_IMAGEVIEWER
31835	31865	CUI_IMAGEVIEWER
31866	31876	CUI_TONESELECTOR
31877	32377	APP_AUDIOPLAYER
32378	32379	APP_SINGLE_AUDIO
32380	32382	APP_MEDPLY_SINGLE
32383	32583	APP_BGSOUND
32584	32594	APP_WEBCAM
32595	33595	APP_CAMCO
33596	33606	CUI_CAMERACUI
33607	33807	APP_WORLDCLOCK
33808	33958	APP_CALLSET
33959	34009	APP_SS
34010	34060	CUI_IMAGE_CLIP
34061	34081	APP_CTM
34082	34132	APP_APN_CONTROL
34133	34333	APP_MMI_CERTMAN
34334	34634	APP_DATAACCOUNT
34635	34735	APP_UNITCONVERTER
34736	34786	APP_CURRENCYCONVERTER
34787	34797	APP_HEALTH
34798	34848	APP_HEALTHMENSTRUAL
34849	34899	APP_HEALTHBMI
34900	35030	APP_CALLLOG
35031	35231	APP_MSPACE
35232	35462	APP_PROFILES
35463	35663	APP_FILEMANAGER
35664	35864	APP_FILEMANAGER_OTHER
35865	35965	SRV_SCREENSAVER
35966	36066	SRV_WALLPAPER
36067	36167	SRV_SPOF
36168	36268	SRV_PHNSET_ONOFF
36269	36369	SRV_FLIGHT_MODE
36370	36380	SRV_LANG_SETTINGS
36381	36881	APP_SETTINGS
36882	37082	APP_PHONESETUP
37083	37093	APP_CALIBRATION
